track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
46,event100000047-hits,155,465,39,39,32,110,5,-1.4564314079065221,688842.2852288315,2955560.968386358,319622820.3461778,1374335850.2996566,900345.9728061347,2987686.6310862103,-1.1994755612598984
47,event100000048-hits,233,699,32,39,32,103,5,-1.9605634092401982,153496.49860091368,1090335.9792697204,107140556.02343775,762144849.5095346,179766.03359637206,1098191.4258062458,-1.8097637552701813
48,event100000049-hits,195,585,32,32,32,96,5,-2.125425967398535,458315.6488924062,3839064.9136284036,267656338.95316523,2245852974.472616,547354.4763868409,3872160.3008148554,-1.9564712177365715
49,event100000050-hits,195,585,32,32,32,96,5,-2.125425967398535,458315.6488924062,3839064.9136284036,267656338.95316523,2245852974.472616,547354.4763868409,3872160.3008148554,-1.9564712177365715
50,event100000051-hits,134,402,32,32,39,103,5,-2.683342827113306,120876.48572654194,1768898.0697619354,48471470.776343316,711097024.044298,162111.94239579703,1791176.3829831185,-2.402340781129254
51,event100000052-hits,195,585,32,32,32,96,5,-2.156125412575614,444482.62932702206,3839265.639719106,259577855.52698088,2245970399.235677,530834.060382374,3872362.757302891,-1.9871706629136503
52,event100000053-hits,155,465,39,39,32,110,5,-1.454349947762539,690147.010062323,2955001.923354979,320228212.66891783,1374075894.3600652,902051.3032927263,2987121.509478403,-1.1973941011159153
53,event100000054-hits,233,699,39,32,32,103,5,-1.8139242902896338,177716.30460602246,1090195.999149969,124045980.61500368,762047003.4058284,208130.83995805986,1098050.4371841906,-1.6631246363196166
54,event100000055-hits,134,402,32,32,32,96,5,-2.3855221922776746,162746.72115521738,1768199.9428517492,65261435.18324217,710816377.0264032,213272.66399752343,1790469.4635425773,-2.1276616748553168
55,event100000056-hits,195,585,32,32,32,96,5,-2.126454815808664,457844.299079557,3839064.4526733547,267381070.66246128,2245852704.8139124,546791.5555469556,3872159.835886056,-1.9575000661467004
56,event100000057-hits,155,465,32,39,32,103,5,-1.5603289499537423,620734.4935681552,2954936.361905129,288020805.01562405,1374045408.285885,795637.5829160885,2987055.235404098,-1.3228995256574736
57,event100000058-hits,233,699,32,32,32,96,5,-1.8588428856907064,169957.10587351996,1090497.1503860955,118630059.89971693,762257508.1198808,196733.10099455543,1098353.758097811,-1.719719761382525
58,event100000059-hits,134,402,32,32,42,106,5,-2.7266475293948877,115737.63309241823,1768652.7457044302,46410790.870059706,710998403.773181,156793.21239885036,1790927.9692019671,-2.43556136434421
59,event100000060-hits,195,585,32,32,32,96,5,-2.133910352122233,454445.2380902517,3839078.9891182925,265396019.044707,2245861208.634201,542732.1452856994,3872174.497645174,-1.9649556024602692
60,event100000061-hits,155,465,32,39,32,103,5,-1.4753147887538083,675827.4671637663,2954996.088444709,313583944.76398754,1374073181.1267896,866253.991060739,2987115.6111451946,-1.2378853644575398
61,event100000062-hits,233,699,32,32,32,96,5,-1.8422875438775714,172771.23385492057,1090352.0619017666,120594321.23073456,762156091.2693348,199990.5824721966,1098207.624307399,-1.7031644195693902
62,event100000063-hits,134,402,32,32,32,96,5,-2.5862627073801905,133078.53637244063,1767289.2604529948,53364493.085348696,710450282.702104,174393.7682527735,1789547.3115922015,-2.328402189957833
63,event100000064-hits,195,585,32,32,32,96,5,-2.1234886435780385,459167.5336497937,3838756.573276536,268153839.6514795,2245672595.3667736,548371.8602279745,3871849.302356506,-1.954533893916075
64,event100000065-hits,155,465,39,32,32,103,5,-1.4441757577015975,697228.6511509991,2955104.122018791,323514094.1340636,1374123416.7387378,893685.3429117779,2987224.818997256,-1.206746333405329
65,event100000066-hits,233,699,32,32,32,96,5,-1.8376797440257502,173564.54308720297,1090323.020607665,121148051.07486767,762135791.4047579,200908.8740876744,1098178.3737820718,-1.698556619717569
66,event100000067-hits,134,402,32,32,39,103,5,-2.4996887114598696,145093.5342619365,1767050.9565475704,58182507.23903654,710354484.5321233,194590.32521416902,1789306.0063781445,-2.2186866654758175
67,event100000068-hits,195,585,32,32,32,96,5,-2.119965984969093,460788.4270696284,3838761.1608521044,269100441.408663,2245675279.098481,550307.6511424601,3871853.92948014,-1.9510112353071296
68,event100000069-hits,155,465,32,32,32,96,5,-1.4344923000817258,704053.8754676033,2955275.5699207797,326680998.21696794,1374203140.0131626,885314.3583115663,2987398.130463397,-1.2162153080002134
69,event100000070-hits,233,699,32,32,32,96,5,-1.8403219567993103,173096.5808476262,1090260.2043457383,120821413.43164308,762091882.837671,200367.1864538028,1098115.1049534164,-1.701198832491129
70,event100000071-hits,134,402,32,32,39,103,5,-2.7296392399000178,115342.92499082585,1767902.1338212404,46252512.92132117,710696657.7961386,154690.678666626,1790167.9037686111,-2.4486371939159657
71,event100000072-hits,195,585,32,32,32,96,5,-2.1236732496210564,459044.46429314424,3838436.2154853097,268081967.14719623,2245485186.058906,548224.8816916079,3871526.182860183,-1.9547184999590925
72,event100000073-hits,155,465,32,39,32,103,5,-1.4446123913234157,697052.3324520219,2955647.0735613415,323432282.2577382,1374375889.2060237,893459.3432534203,2987773.672187008,-1.207182967027147
73,event100000074-hits,233,699,32,32,39,103,5,-1.8829461845125992,165890.91923615188,1090374.6631691847,115791861.626834,762171889.5552601,194281.64702488927,1098230.3884081556,-1.7321465305425823
74,event100000075-hits,134,402,32,32,32,96,5,-2.5235731756128,141732.9062845548,1767846.6806782442,56834895.42010648,710674365.6326542,185734.95235328915,1790111.7522233103,-2.2657126581904423
75,event100000076-hits,195,585,32,32,32,96,5,-2.1184833863307,461446.1836526853,3838545.591680137,269484571.2531682,2245549171.13288,551093.1927467653,3871636.501953242,-1.9495286366687368
76,event100000077-hits,155,465,39,32,32,103,5,-1.523653245370733,643885.6337867122,2954764.9053464597,298762934.0770345,1373965680.9861038,825311.972588493,2986881.915187182,-1.2862238210744643
77,event100000078-hits,233,699,32,32,32,96,5,-1.853344754555435,170838.21050354562,1090140.3471431562,119245070.93147483,762008102.6530662,197753.0197868571,1097994.38422632,-1.7142216302472537
78,event100000079-hits,134,402,32,32,42,106,5,-2.5812725504355276,133777.8691676816,1767733.1209505994,53644925.536240324,710628714.622141,181232.85654135243,1789996.7622723954,-2.2901863853848496
79,event100000080-hits,195,585,32,32,33,97,5,-2.130322599027705,456077.22060161934,3839067.346743134,266349096.8313457,2245854397.844733,545797.3295724298,3872162.7549047126,-1.9593207657440164
80,event100000081-hits,155,465,32,39,32,103,5,-1.434944903771405,703679.0338673034,2955039.326362064,326507071.7144288,1374093286.75836,901953.23678019,2987159.319039913,-1.1975154794751366
81,event100000082-hits,233,699,32,39,32,103,5,-1.9293233489927915,158357.8846350371,1090270.2858911387,110533803.47525589,762098929.837906,185459.40180412063,1098125.2591324295,-1.778523695022775
82,event100000083-hits,134,402,32,33,39,104,5,-2.6446801175625234,125593.66178060496,1768225.7236448675,50363058.37402259,710826740.9052367,169003.55159067982,1790495.569030823,-2.3603279846931895
83,event100000084-hits,195,585,32,32,32,96,5,-2.1469874264196966,448473.56248991546,3838500.826822206,261908560.49411064,2245522983.6909904,535600.3282088152,3871591.351191363,-1.9780326767577332
84,event100000085-hits,155,465,32,39,32,103,5,-1.4186163285317377,715336.0140911734,2955339.1966463295,331915910.53830445,1374232726.4405432,916894.7804925537,2987462.4487837893,-1.181186904235469
85,event100000086-hits,233,699,32,32,39,103,5,-1.8290473381059615,175076.34737008277,1090366.8601889862,122203290.46431778,762166435.2721013,205039.07796026472,1098222.5292105207,-1.6782476841359446
86,event100000087-hits,134,402,32,32,32,96,5,-2.533265314877721,140434.80911705215,1768715.2311968063,56314358.455937915,711023522.9411161,184033.8511631958,1790991.2416652797,-2.275404797455363
87,event100000088-hits,195,585,32,32,32,96,5,-2.143987749666042,449878.82796491275,3838995.5082978867,262729235.53150904,2245812372.354264,537278.6002689346,3872090.297162524,-1.9750330000040788
88,event100000089-hits,155,465,39,42,32,113,5,-1.4545738342787977,689982.5907111156,2954959.4306643107,320151922.08995765,1374056135.2589045,909522.5059373797,2987078.5549106617,-1.189131373754855
