track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
61,event67821_track40-hits,24,72,32,32,32,96,5,-33.58012076840476,8.048473734184257e-17,0.030858490821492994,5.714416351270823e-15,2.2218113391474956,5.714416351270823e-15,0.03316136327085814,-29.389414390988538
62,event67901_track12-hits,25,75,32,32,32,96,5,-30.941464969867592,1.9004506954340283e-17,0.0005206718584513531,1.406333514621181e-15,0.03905038938385148,1.406333514621181e-15,0.0005578627054835927,-26.706392748150375
63,event67913_track151-hits,24,72,32,32,32,96,5,-26.974886141476503,7.916120733274201e-16,0.00041073017523778364,5.620445720624683e-14,0.029572572617120423,5.620445720624683e-14,0.00044138168085254364,-22.784179764060276
64,event67943_track208-hits,26,78,32,32,32,96,5,-32.464732557396495,1.88029152298614e-18,0.00023630852763335675,1.447824472699328e-16,0.018432065155401828,1.447824472699328e-16,0.0002524940432246826,-28.18717652108401
65,event67960_track256-hits,25,75,32,32,32,96,5,-34.018238526484,6.284639338834512e-18,0.003734338100686562,4.650633110737539e-16,0.28007535755149215,4.650633110737539e-16,0.004001076536449888,-29.783166304766777
66,event67979_track12-hits,23,69,32,32,32,96,5,-30.953694815737197,1.5616145298223342e-17,0.000433104498053212,1.0618978802791873e-15,0.029884210365671626,1.0618978802791873e-15,0.00046694078696361916,-26.80941053179868
67,event67989_track149-hits,28,84,42,39,39,120,5,-28.252450788369526,8.488552838891883e-16,0.0015802184713052721,7.045498856280263e-14,0.13273835158964287,7.045498856280263e-14,0.0016802322986030742,-23.89497912694922
68,event67989_track215-hits,23,69,32,32,32,96,5,-31.505503492482614,3.305860147291798e-17,0.0015920283361857926,2.2479849001584224e-15,0.1098499551968197,2.2479849001584224e-15,0.0017164055499503078,-27.361219208544096
69,event67995_track229-hits,23,69,32,32,32,96,5,-32.605000871203934,1.2596957013284462e-15,0.1821535367925317,8.565930769033434e-14,12.568594038684688,8.565930769033434e-14,0.19638428185444826,-28.460716587265416
70,event68033_track261-hits,25,75,32,32,32,96,5,-34.634584880758204,3.863519415773004e-18,0.004251989621658596,2.859004367672023e-16,0.3188992216243947,2.859004367672023e-16,0.004555703166062782,-30.399512659040987
71,event68038_track8-hits,23,69,32,32,32,96,5,-22.87857757761079,6.471882940844762e-15,5.585610517025668e-05,4.400880399774438e-13,0.003854071256747711,4.400880399774438e-13,6.021986338668298e-05,-18.734293293672273
72,event68054_track222-hits,23,69,32,32,32,96,5,-32.039142886474124,2.4137554939345177e-17,0.0019820574382149736,1.641353735875472e-15,0.13676196323683318,1.641353735875472e-15,0.0021369056755755184,-27.894858602535606
74,event68140_track168-hits,22,66,32,32,32,96,5,-26.20760275889637,9.767683871146478e-15,0.0023529291893741723,6.348994516245211e-13,0.15529332649869537,6.348994516245211e-13,0.0025457922376835307,-22.111996366853848
75,event68202_track32-hits,25,75,32,32,32,96,5,-25.64860351297257,9.400461594531422e-17,1.2947805106171548e-05,6.956341579953252e-15,0.0009710853829628662,6.956341579953252e-15,1.3872648328040946e-05,-21.413531291255353
76,event68243_track117-hits,25,75,42,42,42,126,5,-26.493617564949385,7.946015653445947e-17,2.547893849166525e-05,5.8800515835500006e-15,0.0019109203868748936,5.8800515835500006e-15,2.7298862669641337e-05,-22.258545343232164
78,event68291_track110-hits,25,75,32,32,32,96,5,-36.02494617158943,1.0224085288102594e-17,0.045191816349427746,7.56582311319592e-16,3.389386226207081,7.56582311319592e-16,0.04841980323152973,-31.789873949872206
